order_id,customer_id,order_date,amount,quantity,order_status
1,10,1996-01-29,180734.63,145.0,pending
2,33,1997-01-28,36596.28,38.0,pending
3,16,1993-10-29,218430.61,177.0,returned
4,81,1996-01-10,53456.4,30.0,pending
5,5,1994-08-08,108296.94,91.0,returned
6,36,1992-04-27,48040.43,37.0,shipped
7,17,1996-01-15,281463.65,173.0,pending
32,25,1995-07-21,198563.34,116.0,pending
33,8,1993-10-29,152399.90000000002,109.0,returned
34,18,1998-10-09,72299.16,41.0,pending
35,21,1995-11-08,196320.93,152.0,pending
36,99,1996-02-03,46165.98,42.0,pending
37,43,1992-07-02,134985.53,122.0,shipped
38,44,1996-09-29,73073.0,44.0,pending
39,7,1996-09-26,330683.28,231.0,pending
64,61,1994-09-30,36978.06,21.0,returned
65,4,1995-04-20,94205.60999999999,69.0,shipped
66,36,1994-02-19,99753.57999999999,72.0,returned
67,27,1997-01-25,183023.99,117.0,pending
68,32,1998-06-19,301039.34,213.0,pending
69,13,1994-06-06,207772.65999999997,165.0,returned
70,5,1994-01-12,127987.48,89.0,returned
71,2,1998-01-29,260011.93,179.0,pending
96,43,1994-06-03,63701.79,53.0,returned
97,26,1993-04-01,97798.23,69.0,returned
98,4,1994-10-23,72109.15,53.0,shipped
99,20,1994-04-19,111066.01000000001,93.0,returned
100,22,1998-03-06,199677.97000000003,147.0,pending
101,58,1996-03-29,123844.06,97.0,pending
102,6,1997-06-02,186317.03999999998,111.0,pending
103,32,1996-07-30,113665.06,98.0,pending
128,5,1992-09-01,36862.28,38.0,shipped
129,24,1992-11-25,258745.34999999998,196.0,returned
130,20,1992-06-26,142201.72,124.0,returned
131,2,1994-09-14,145338.71,99.0,returned
132,45,1993-06-16,131125.29,116.0,returned
133,71,1997-12-02,96228.65,79.0,pending
134,8,1992-06-20,212579.12,153.0,shipped
135,3,1995-11-12,227006.08000000002,168.0,pending
160,1,1997-01-31,114000.76,92.0,pending
161,35,1994-12-13,17670.38,19.0,shipped
162,80,1995-09-02,3589.78,2.0,pending
